Name,Barcode,Description,Weight,Status,CategoryName
Electronics Item 088,2000000000879,Electronics product 88 - generated seed data.,12.79,0,Electronics
Electronics Item 089,2000000000886,Electronics product 89 - generated seed data.,2.36,1,Electronics
Electronics Item 090,2000000000893,Electronics product 90 - generated seed data.,1.27,2,Electronics
Electronics Item 091,2000000000909,Electronics product 91 - generated seed data.,2.83,0,Electronics
Electronics Item 092,2000000000916,Electronics product 92 - generated seed data.,15.72,1,Electronics
Electronics Item 093,2000000000923,Electronics product 93 - generated seed data.,19.82,2,Electronics
Electronics Item 094,2000000000930,Electronics product 94 - generated seed data.,10.61,0,Electronics
Electronics Item 095,2000000000947,Electronics product 95 - generated seed data.,1.68,1,Electronics
Electronics Item 096,2000000000954,Electronics product 96 - generated seed data.,9.6,2,Electronics
Electronics Item 097,2000000000961,Electronics product 97 - generated seed data.,24.9,0,Electronics
Electronics Item 098,2000000000978,Electronics product 98 - generated seed data.,13.27,1,Electronics
Electronics Item 099,2000000000985,Electronics product 99 - generated seed data.,24.28,2,Electronics
Electronics Item 100,2000000000992,Electronics product 100 - generated seed data.,21.53,0,Electronics
Electronics Item 101,2000000001005,Electronics product 101 - generated seed data.,0.39,1,Electronics
Electronics Item 102,2000000001012,Electronics product 102 - generated seed data.,18.05,2,Electronics
Electronics Item 103,2000000001029,Electronics product 103 - generated seed data.,17.07,0,Electronics
Electronics Item 104,2000000001036,Electronics product 104 - generated seed data.,13.47,1,Electronics
Electronics Item 105,2000000001043,Electronics product 105 - generated seed data.,6.74,2,Electronics
Electronics Item 106,2000000001050,Electronics product 106 - generated seed data.,16.06,0,Electronics
Electronics Item 107,2000000001067,Electronics product 107 - generated seed data.,2.88,1,Electronics
Electronics Item 108,2000000001074,Electronics product 108 - generated seed data.,10.93,2,Electronics
Electronics Item 109,2000000001081,Electronics product 109 - generated seed data.,11.4,0,Electronics
Electronics Item 110,2000000001098,Electronics product 110 - generated seed data.,23.85,1,Electronics
Electronics Item 111,2000000001104,Electronics product 111 - generated seed data.,21.91,2,Electronics
Electronics Item 112,2000000001111,Electronics product 112 - generated seed data.,6.66,0,Electronics
Electronics Item 113,2000000001128,Electronics product 113 - generated seed data.,12.56,1,Electronics
Electronics Item 114,2000000001135,Electronics product 114 - generated seed data.,4.55,2,Electronics
Electronics Item 115,2000000001142,Electronics product 115 - generated seed data.,22.82,0,Electronics
Electronics Item 116,2000000001159,Electronics product 116 - generated seed data.,21.78,1,Electronics
Electronics Item 117,2000000001166,Electronics product 117 - generated seed data.,7.53,2,Electronics
Electronics Item 118,2000000001173,Electronics product 118 - generated seed data.,16.01,0,Electronics
Electronics Item 119,2000000001180,Electronics product 119 - generated seed data.,15.26,1,Electronics
Electronics Item 120,2000000001197,Electronics product 120 - generated seed data.,3.91,2,Electronics
Electronics Item 121,2000000001203,Electronics product 121 - generated seed data.,19.09,0,Electronics
Electronics Item 122,2000000001210,Electronics product 122 - generated seed data.,13.53,1,Electronics
Electronics Item 123,2000000001227,Electronics product 123 - generated seed data.,19.49,2,Electronics
Electronics Item 124,2000000001234,Electronics product 124 - generated seed data.,13.31,0,Electronics
Electronics Item 125,2000000001241,Electronics product 125 - generated seed data.,0.11,1,Electronics
Electronics Item 126,2000000001258,Electronics product 126 - generated seed data.,8.17,2,Electronics
Electronics Item 127,2000000001265,Electronics product 127 - generated seed data.,0.58,0,Electronics
Electronics Item 128,2000000001272,Electronics product 128 - generated seed data.,23.23,1,Electronics
Electronics Item 129,2000000001289,Electronics product 129 - generated seed data.,21.98,2,Electronics
Electronics Item 130,2000000001296,Electronics product 130 - generated seed data.,20.81,0,Electronics
Electronics Item 131,2000000001302,Electronics product 131 - generated seed data.,7.76,1,Electronics
Electronics Item 132,2000000001319,Electronics product 132 - generated seed data.,1.54,2,Electronics
Electronics Item 133,2000000001326,Electronics product 133 - generated seed data.,21.96,0,Electronics
Electronics Item 134,2000000001333,Electronics product 134 - generated seed data.,23.68,1,Electronics
Electronics Item 135,2000000001340,Electronics product 135 - generated seed data.,2.23,2,Electronics
Electronics Item 136,2000000001357,Electronics product 136 - generated seed data.,12.2,0,Electronics
Electronics Item 137,2000000001364,Electronics product 137 - generated seed data.,1.82,1,Electronics
Electronics Item 138,2000000001371,Electronics product 138 - generated seed data.,19.04,2,Electronics
Electronics Item 139,2000000001388,Electronics product 139 - generated seed data.,19.17,0,Electronics
Electronics Item 140,2000000001395,Electronics product 140 - generated seed data.,3.3,1,Electronics
Electronics Item 141,2000000001401,Electronics product 141 - generated seed data.,11.93,2,Electronics
Electronics Item 142,2000000001418,Electronics product 142 - generated seed data.,13.79,0,Electronics
Electronics Item 143,2000000001425,Electronics product 143 - generated seed data.,6.7,1,Electronics
Electronics Item 144,2000000001432,Electronics product 144 - generated seed data.,21.82,2,Electronics
Electronics Item 145,2000000001449,Electronics product 145 - generated seed data.,10.64,0,Electronics
Electronics Item 146,2000000001456,Electronics product 146 - generated seed data.,5.37,1,Electronics
Electronics Item 147,2000000001463,Electronics product 147 - generated seed data.,13.53,2,Electronics
Electronics Item 148,2000000001470,Electronics product 148 - generated seed data.,18.28,0,Electronics
Electronics Item 149,2000000001487,Electronics product 149 - generated seed data.,5.11,1,Electronics
Electronics Item 150,2000000001494,Electronics product 150 - generated seed data.,7.86,2,Electronics
Home & Kitchen Item 001,2000000001500,Home & Kitchen product 1 - generated seed data.,24.88,0,Home & Kitchen
Home & Kitchen Item 002,2000000001517,Home & Kitchen product 2 - generated seed data.,16.28,1,Home & Kitchen
Home & Kitchen Item 003,2000000001524,Home & Kitchen product 3 - generated seed data.,11.01,2,Home & Kitchen
Home & Kitchen Item 004,2000000001531,Home & Kitchen product 4 - generated seed data.,12.99,0,Home & Kitchen
Home & Kitchen Item 005,2000000001548,Home & Kitchen product 5 - generated seed data.,3.11,1,Home & Kitchen
Home & Kitchen Item 006,2000000001555,Home & Kitchen product 6 - generated seed data.,5.69,2,Home & Kitchen
Home & Kitchen Item 007,2000000001562,Home & Kitchen product 7 - generated seed data.,8.52,0,Home & Kitchen
Home & Kitchen Item 008,2000000001579,Home & Kitchen product 8 - generated seed data.,14.75,1,Home & Kitchen
Home & Kitchen Item 009,2000000001586,Home & Kitchen product 9 - generated seed data.,5.83,2,Home & Kitchen
Home & Kitchen Item 010,2000000001593,Home & Kitchen product 10 - generated seed data.,5.58,0,Home & Kitchen
Home & Kitchen Item 011,2000000001609,Home & Kitchen product 11 - generated seed data.,1.87,1,Home & Kitchen
Home & Kitchen Item 012,2000000001616,Home & Kitchen product 12 - generated seed data.,15.81,2,Home & Kitchen
Home & Kitchen Item 013,2000000001623,Home & Kitchen product 13 - generated seed data.,5.8,0,Home & Kitchen
Home & Kitchen Item 014,2000000001630,Home & Kitchen product 14 - generated seed data.,22.64,1,Home & Kitchen
Home & Kitchen Item 015,2000000001647,Home & Kitchen product 15 - generated seed data.,21.5,2,Home & Kitchen
Home & Kitchen Item 016,2000000001654,Home & Kitchen product 16 - generated seed data.,1.86,0,Home & Kitchen
Home & Kitchen Item 017,2000000001661,Home & Kitchen product 17 - generated seed data.,6.03,1,Home & Kitchen
Home & Kitchen Item 018,2000000001678,Home & Kitchen product 18 - generated seed data.,16.76,2,Home & Kitchen
Home & Kitchen Item 019,2000000001685,Home & Kitchen product 19 - generated seed data.,5.43,0,Home & Kitchen
Home & Kitchen Item 020,2000000001692,Home & Kitchen product 20 - generated seed data.,3.39,1,Home & Kitchen
Home & Kitchen Item 021,2000000001708,Home & Kitchen product 21 - generated seed data.,23.39,2,Home & Kitchen
Home & Kitchen Item 022,2000000001715,Home & Kitchen product 22 - generated seed data.,14.32,0,Home & Kitchen
Home & Kitchen Item 023,2000000001722,Home & Kitchen product 23 - generated seed data.,11.87,1,Home & Kitchen
Home & Kitchen Item 024,2000000001739,Home & Kitchen product 24 - generated seed data.,19.64,2,Home & Kitchen
Home & Kitchen Item 025,2000000001746,Home & Kitchen product 25 - generated seed data.,20.21,0,Home & Kitchen
Home & Kitchen Item 026,2000000001753,Home & Kitchen product 26 - generated seed data.,4.84,1,Home & Kitchen
Home & Kitchen Item 027,2000000001760,Home & Kitchen product 27 - generated seed data.,2.51,2,Home & Kitchen
Home & Kitchen Item 028,2000000001777,Home & Kitchen product 28 - generated seed data.,10.83,0,Home & Kitchen
Home & Kitchen Item 029,2000000001784,Home & Kitchen product 29 - generated seed data.,10.65,1,Home & Kitchen
Home & Kitchen Item 030,2000000001791,Home & Kitchen product 30 - generated seed data.,11.73,2,Home & Kitchen
Home & Kitchen Item 031,2000000001807,Home & Kitchen product 31 - generated seed data.,18.25,0,Home & Kitchen
Home & Kitchen Item 032,2000000001814,Home & Kitchen product 32 - generated seed data.,16.87,1,Home & Kitchen
Home & Kitchen Item 033,2000000001821,Home & Kitchen product 33 - generated seed data.,24.61,2,Home & Kitchen
Home & Kitchen Item 034,2000000001838,Home & Kitchen product 34 - generated seed data.,2.55,0,Home & Kitchen
Home & Kitchen Item 035,2000000001845,Home & Kitchen product 35 - generated seed data.,10.13,1,Home & Kitchen
Home & Kitchen Item 036,2000000001852,Home & Kitchen product 36 - generated seed data.,8.55,2,Home & Kitchen
Home & Kitchen Item 037,2000000001869,Home & Kitchen product 37 - generated seed data.,21.56,0,Home & Kitchen
Home & Kitchen Item 038,2000000001876,Home & Kitchen product 38 - generated seed data.,6.29,1,Home & Kitchen
Home & Kitchen Item 039,2000000001883,Home & Kitchen product 39 - generated seed data.,4.84,2,Home & Kitchen
Home & Kitchen Item 040,2000000001890,Home & Kitchen product 40 - generated seed data.,11.27,0,Home & Kitchen
Home & Kitchen Item 041,2000000001906,Home & Kitchen product 41 - generated seed data.,10.6,1,Home & Kitchen
Home & Kitchen Item 042,2000000001913,Home & Kitchen product 42 - generated seed data.,7.04,2,Home & Kitchen
Home & Kitchen Item 043,2000000001920,Home & Kitchen product 43 - generated seed data.,6.32,0,Home & Kitchen
Home & Kitchen Item 044,2000000001937,Home & Kitchen product 44 - generated seed data.,23.09,1,Home & Kitchen
Home & Kitchen Item 045,2000000001944,Home & Kitchen product 45 - generated seed data.,11.13,2,Home & Kitchen
Home & Kitchen Item 046,2000000001951,Home & Kitchen product 46 - generated seed data.,21.55,0,Home & Kitchen
Home & Kitchen Item 047,2000000001968,Home & Kitchen product 47 - generated seed data.,13.8,1,Home & Kitchen
Home & Kitchen Item 048,2000000001975,Home & Kitchen product 48 - generated seed data.,1.36,2,Home & Kitchen
Home & Kitchen Item 049,2000000001982,Home & Kitchen product 49 - generated seed data.,24.98,0,Home & Kitchen
Home & Kitchen Item 050,2000000001999,Home & Kitchen product 50 - generated seed data.,20.92,1,Home & Kitchen
Home & Kitchen Item 051,2000000002002,Home & Kitchen product 51 - generated seed data.,24.23,2,Home & Kitchen
Home & Kitchen Item 052,2000000002019,Home & Kitchen product 52 - generated seed data.,23.17,0,Home & Kitchen
Home & Kitchen Item 053,2000000002026,Home & Kitchen product 53 - generated seed data.,21.23,1,Home & Kitchen
Home & Kitchen Item 054,2000000002033,Home & Kitchen product 54 - generated seed data.,4.24,2,Home & Kitchen
Home & Kitchen Item 055,2000000002040,Home & Kitchen product 55 - generated seed data.,12.19,0,Home & Kitchen
Home & Kitchen Item 056,2000000002057,Home & Kitchen product 56 - generated seed data.,5.42,1,Home & Kitchen
Home & Kitchen Item 057,2000000002064,Home & Kitchen product 57 - generated seed data.,10.09,2,Home & Kitchen
Home & Kitchen Item 058,2000000002071,Home & Kitchen product 58 - generated seed data.,1.56,0,Home & Kitchen
Home & Kitchen Item 059,2000000002088,Home & Kitchen product 59 - generated seed data.,9.54,1,Home & Kitchen
Home & Kitchen Item 060,2000000002095,Home & Kitchen product 60 - generated seed data.,24.63,2,Home & Kitchen
Home & Kitchen Item 061,2000000002101,Home & Kitchen product 61 - generated seed data.,6.7,0,Home & Kitchen
Home & Kitchen Item 062,2000000002118,Home & Kitchen product 62 - generated seed data.,19.62,1,Home & Kitchen
Home & Kitchen Item 063,2000000002125,Home & Kitchen product 63 - generated seed data.,11.43,2,Home & Kitchen
Home & Kitchen Item 064,2000000002132,Home & Kitchen product 64 - generated seed data.,10.63,0,Home & Kitchen
Home & Kitchen Item 065,2000000002149,Home & Kitchen product 65 - generated seed data.,23.94,1,Home & Kitchen
Home & Kitchen Item 066,2000000002156,Home & Kitchen product 66 - generated seed data.,24.89,2,Home & Kitchen
Home & Kitchen Item 067,2000000002163,Home & Kitchen product 67 - generated seed data.,13.94,0,Home & Kitchen
Home & Kitchen Item 068,2000000002170,Home & Kitchen product 68 - generated seed data.,17.99,1,Home & Kitchen
Home & Kitchen Item 069,2000000002187,Home & Kitchen product 69 - generated seed data.,3.95,2,Home & Kitchen
Home & Kitchen Item 070,2000000002194,Home & Kitchen product 70 - generated seed data.,7.49,0,Home & Kitchen
Home & Kitchen Item 071,2000000002200,Home & Kitchen product 71 - generated seed data.,24.22,1,Home & Kitchen
Home & Kitchen Item 072,2000000002217,Home & Kitchen product 72 - generated seed data.,14.52,2,Home & Kitchen
Home & Kitchen Item 073,2000000002224,Home & Kitchen product 73 - generated seed data.,13.6,0,Home & Kitchen
Home & Kitchen Item 074,2000000002231,Home & Kitchen product 74 - generated seed data.,18.72,1,Home & Kitchen
Home & Kitchen Item 075,2000000002248,Home & Kitchen product 75 - generated seed data.,1.52,2,Home & Kitchen
Home & Kitchen Item 076,2000000002255,Home & Kitchen product 76 - generated seed data.,14.65,0,Home & Kitchen
Home & Kitchen Item 077,2000000002262,Home & Kitchen product 77 - generated seed data.,12.62,1,Home & Kitchen
Home & Kitchen Item 078,2000000002279,Home & Kitchen product 78 - generated seed data.,21.33,2,Home & Kitchen
Home & Kitchen Item 079,2000000002286,Home & Kitchen product 79 - generated seed data.,4.02,0,Home & Kitchen
Home & Kitchen Item 080,2000000002293,Home & Kitchen product 80 - generated seed data.,24.02,1,Home & Kitchen
Home & Kitchen Item 081,2000000002309,Home & Kitchen product 81 - generated seed data.,2.09,2,Home & Kitchen
Home & Kitchen Item 082,2000000002316,Home & Kitchen product 82 - generated seed data.,4.73,0,Home & Kitchen
Home & Kitchen Item 083,2000000002323,Home & Kitchen product 83 - generated seed data.,14.92,1,Home & Kitchen
Home & Kitchen Item 084,2000000002330,Home & Kitchen product 84 - generated seed data.,16.91,2,Home & Kitchen
Home & Kitchen Item 085,2000000002347,Home & Kitchen product 85 - generated seed data.,5.96,0,Home & Kitchen
Home & Kitchen Item 086,2000000002354,Home & Kitchen product 86 - generated seed data.,3.09,1,Home & Kitchen
Home & Kitchen Item 087,2000000002361,Home & Kitchen product 87 - generated seed data.,22.27,2,Home & Kitchen
Home & Kitchen Item 088,2000000002378,Home & Kitchen product 88 - generated seed data.,6.23,0,Home & Kitchen
Home & Kitchen Item 089,2000000002385,Home & Kitchen product 89 - generated seed data.,14.9,1,Home & Kitchen
Home & Kitchen Item 090,2000000002392,Home & Kitchen product 90 - generated seed data.,15.52,2,Home & Kitchen
Home & Kitchen Item 091,2000000002408,Home & Kitchen product 91 - generated seed data.,10.54,0,Home & Kitchen
Home & Kitchen Item 092,2000000002415,Home & Kitchen product 92 - generated seed data.,14.63,1,Home & Kitchen
Home & Kitchen Item 093,2000000002422,Home & Kitchen product 93 - generated seed data.,13.12,2,Home & Kitchen
Home & Kitchen Item 094,2000000002439,Home & Kitchen product 94 - generated seed data.,23.37,0,Home & Kitchen
Home & Kitchen Item 095,2000000002446,Home & Kitchen product 95 - generated seed data.,5.19,1,Home & Kitchen
Home & Kitchen Item 096,2000000002453,Home & Kitchen product 96 - generated seed data.,17.93,2,Home & Kitchen
Home & Kitchen Item 097,2000000002460,Home & Kitchen product 97 - generated seed data.,6.04,0,Home & Kitchen
Home & Kitchen Item 098,2000000002477,Home & Kitchen product 98 - generated seed data.,9.96,1,Home & Kitchen
Home & Kitchen Item 099,2000000002484,Home & Kitchen product 99 - generated seed data.,16.83,2,Home & Kitchen
Home & Kitchen Item 100,2000000002491,Home & Kitchen product 100 - generated seed data.,7.57,0,Home & Kitchen
Home & Kitchen Item 101,2000000002507,Home & Kitchen product 101 - generated seed data.,7.97,1,Home & Kitchen
Home & Kitchen Item 102,2000000002514,Home & Kitchen product 102 - generated seed data.,18.82,2,Home & Kitchen
Home & Kitchen Item 103,2000000002521,Home & Kitchen product 103 - generated seed data.,1.91,0,Home & Kitchen
Home & Kitchen Item 104,2000000002538,Home & Kitchen product 104 - generated seed data.,11.51,1,Home & Kitchen
Home & Kitchen Item 105,2000000002545,Home & Kitchen product 105 - generated seed data.,24.96,2,Home & Kitchen
Home & Kitchen Item 106,2000000002552,Home & Kitchen product 106 - generated seed data.,24.9,0,Home & Kitchen
Home & Kitchen Item 107,2000000002569,Home & Kitchen product 107 - generated seed data.,1.92,1,Home & Kitchen
Home & Kitchen Item 108,2000000002576,Home & Kitchen product 108 - generated seed data.,5.41,2,Home & Kitchen
Home & Kitchen Item 109,2000000002583,Home & Kitchen product 109 - generated seed data.,6.7,0,Home & Kitchen
Home & Kitchen Item 110,2000000002590,Home & Kitchen product 110 - generated seed data.,23.34,1,Home & Kitchen
Home & Kitchen Item 111,2000000002606,Home & Kitchen product 111 - generated seed data.,22.03,2,Home & Kitchen
Home & Kitchen Item 112,2000000002613,Home & Kitchen product 112 - generated seed data.,21.99,0,Home & Kitchen
Home & Kitchen Item 113,2000000002620,Home & Kitchen product 113 - generated seed data.,9.3,1,Home & Kitchen
Home & Kitchen Item 114,2000000002637,Home & Kitchen product 114 - generated seed data.,4.03,2,Home & Kitchen
Home & Kitchen Item 115,2000000002644,Home & Kitchen product 115 - generated seed data.,20.86,0,Home & Kitchen
Home & Kitchen Item 116,2000000002651,Home & Kitchen product 116 - generated seed data.,17.62,1,Home & Kitchen
Home & Kitchen Item 117,2000000002668,Home & Kitchen product 117 - generated seed data.,15.33,2,Home & Kitchen
Home & Kitchen Item 118,2000000002675,Home & Kitchen product 118 - generated seed data.,24.68,0,Home & Kitchen
Home & Kitchen Item 119,2000000002682,Home & Kitchen product 119 - generated seed data.,16.38,1,Home & Kitchen
Home & Kitchen Item 120,2000000002699,Home & Kitchen product 120 - generated seed data.,0.29,2,Home & Kitchen
Home & Kitchen Item 121,2000000002705,Home & Kitchen product 121 - generated seed data.,20.45,0,Home & Kitchen
Home & Kitchen Item 122,2000000002712,Home & Kitchen product 122 - generated seed data.,7.55,1,Home & Kitchen
Home & Kitchen Item 123,2000000002729,Home & Kitchen product 123 - generated seed data.,16.62,2,Home & Kitchen
Home & Kitchen Item 124,2000000002736,Home & Kitchen product 124 - generated seed data.,23.48,0,Home & Kitchen
Home & Kitchen Item 125,2000000002743,Home & Kitchen product 125 - generated seed data.,3.44,1,Home & Kitchen
Home & Kitchen Item 126,2000000002750,Home & Kitchen product 126 - generated seed data.,2.97,2,Home & Kitchen
Home & Kitchen Item 127,2000000002767,Home & Kitchen product 127 - generated seed data.,2.77,0,Home & Kitchen
Home & Kitchen Item 128,2000000002774,Home & Kitchen product 128 - generated seed data.,13.88,1,Home & Kitchen
Home & Kitchen Item 129,2000000002781,Home & Kitchen product 129 - generated seed data.,6.88,2,Home & Kitchen
Home & Kitchen Item 130,2000000002798,Home & Kitchen product 130 - generated seed data.,15.16,0,Home & Kitchen
Home & Kitchen Item 131,2000000002804,Home & Kitchen product 131 - generated seed data.,17.97,1,Home & Kitchen
Home & Kitchen Item 132,2000000002811,Home & Kitchen product 132 - generated seed data.,5.17,2,Home & Kitchen
Home & Kitchen Item 133,2000000002828,Home & Kitchen product 133 - generated seed data.,15.89,0,Home & Kitchen
Home & Kitchen Item 134,2000000002835,Home & Kitchen product 134 - generated seed data.,6.67,1,Home & Kitchen
Home & Kitchen Item 135,2000000002842,Home & Kitchen product 135 - generated seed data.,12.26,2,Home & Kitchen
Home & Kitchen Item 136,2000000002859,Home & Kitchen product 136 - generated seed data.,22.64,0,Home & Kitchen
Home & Kitchen Item 137,2000000002866,Home & Kitchen product 137 - generated seed data.,21.17,1,Home & Kitchen
Home & Kitchen Item 138,2000000002873,Home & Kitchen product 138 - generated seed data.,2.4,2,Home & Kitchen
Home & Kitchen Item 139,2000000002880,Home & Kitchen product 139 - generated seed data.,10.65,0,Home & Kitchen
Home & Kitchen Item 140,2000000002897,Home & Kitchen product 140 - generated seed data.,6.99,1,Home & Kitchen
Home & Kitchen Item 141,2000000002903,Home & Kitchen product 141 - generated seed data.,0.19,2,Home & Kitchen
